연도,월,연월,수출입구분,수출입구분설명,물동량
1994,8,1994-08,OO,수출,138060
1996,6,1996-06,OO,수출,164707.25
2003,9,2003-09,OT,수출환적,155690
2005,10,2005-10,OT,수출환적,211011
2009,6,2009-06,OT,수출환적,206306.25
2010,10,2010-10,IT,수입환적,260387.5
2018,10,2018-10,OT,수출환적,475076.75
2017,8,2017-08,OT,수출환적,431965.75
2012,7,2012-07,IT,수입환적,341020.25
2017,2,2017-02,OO,수출,373953.75
2016,8,2016-08,IT,수입환적,428227.5
2019,11,2019-11,IT,수입환적,476056.75
2019,6,2019-06,OO,수출,439484.75
2024,1,2024-01,IT,수입환적,558618
2019,4,2019-04,II,수입,451720.25
2021,4,2021-04,IT,수입환적,546051
2022,8,2022-08,OO,수출,431194.25
2024,7,2024-07,OO,수출,487892.5
1994,7,1994-07,OO,수출,152217
1999,7,1999-07,OO,수출,210140.75
1999,11,1999-11,II,수입,292904
2001,7,2001-07,OO,수출,213296
2002,3,2002-03,IT,수입환적,154898.75
2002,10,2002-10,IT,수입환적,180761.75
2004,2,2004-02,IT,수입환적,159006.25
2004,11,2004-11,OO,수출,286817.25
2003,5,2003-05,IT,수입환적,185976.75
2010,5,2010-05,OT,수출환적,282762.25
2010,11,2010-11,OT,수출환적,258019
2011,12,2011-12,OT,수출환적,306882.75
2011,11,2011-11,OO,수출,359231.25
2017,1,2017-01,IT,수입환적,438544
2017,9,2017-09,OT,수출환적,399164.25
2013,3,2013-03,OO,수출,410919
2012,7,2012-07,OO,수출,398351
2013,10,2013-10,OT,수출환적,348267.25
2018,7,2018-07,OT,수출환적,492144
2018,12,2018-12,IT,수입환적,469193
2023,6,2023-06,II,수입,441138.25
2024,3,2024-03,OO,수출,485954.5
1997,2,1997-02,II,수입,179156.25
1998,1,1998-01,OO,수출,179292.5
1999,1,1999-01,II,수입,236170.5
2000,6,2000-06,OO,수출,214826.25
2002,11,2002-11,OO,수출,238204
2004,4,2004-04,OO,수출,280473.25
2005,6,2005-06,II,수입,272991.25
2009,6,2009-06,IT,수입환적,224957.25
2018,9,2018-09,OT,수출환적,488499
2012,3,2012-03,OT,수출환적,338998.5
2015,11,2015-11,II,수입,364608.25
2019,11,2019-11,OT,수출환적,489676
